name,subtitle,category,price,Linking,source1
Bus Ticket,TCAT Bus,Consumer Services,1.5,,Sad college students
$5 Footlong,Subway,Consumer Goods,5,,Hungry college students
Haircut,Barber,Consumer Services,12,,http://www.yelp.com/biz/big-red-barber-shop-ithaca
Xbox 360,Microsoft - 2005,Consumer Goods,100,Xbox,http://www.gamestop.com/browse/xbox-360/systems?nav=1385-c4
Skydiving,No Limits,Entertainment,250,,http://nolimitsskydiving.com/tandem-skydiving/pricing-discounts/
Xbox One,Microsoft - 2013,Consumer Goods,400,Xbox,http://www.techradar.com/news/gaming/consoles/ps4-vs-xbox-720-which-is-better-1127315/4
iPhone 5s,Apple - 2013,Consumer Goods,450,Iphone,http://www.apple.com/shop/buy-iphone/iphone6s/5.5-inch-display-128gb-space-gray
Internet,Annual Cost - Verizon FIOS,Consumer Services,840,,http://www.highspeedexperts.com/verizon-fios-deals/
iPhone 6s,Apple - 2016,Consumer Goods,949,Iphone,http://www.apple.com/shop/buy-iphone/iphone6s/5.5-inch-display-128gb-space-gray
$1 Thousand,,Government Spending,1000,,
$1 Thousand,,Government Spending,1001,,
13'' Macbook Pro,Apple - 2015,Consumer Goods,1799,Macbook,http://www.apple.com/shop/browse/home/specialdeals/mac/macbook_pro/15
"15"" MacBook Pro",Apple - 2015,Consumer Goods,2499,Macbook,http://www.apple.com/shop/buy-mac/macbook-pro
Groceries,Avg. Annual Cost,Necessities,9240,,http://www.thesimpledollar.com/whats-an-appropriate-home-food-budget-for-a-family-of-four/
Public School Education,Avg. Annual Cost,Education,12401,,https://nces.ed.gov/fastfacts/display.asp?id=66
C300 Sedan,Mercedes - 2016,Consumer Goods,38950,Mercedes,http://www.mbusa.com/mercedes/vehicles/class/class-S/bodystyle-MAY
Average U.S. Income,Annual,Government Spending,51939,,https://en.wikipedia.org/wiki/Household_income_in_the_United_States
Cellular Service for Life,Avg. Cost - 95 Years,Consumer Services,63900,,http://business.time.com/2012/10/18/47-a-month-why-youre-probably-paying-double-the-average-cell-phone-bill/
4 Year College Education,Avg. Annual Cost,Education,175684,,http://trends.collegeboard.org/college-pricing/figures-tables/average-published-undergraduate-charges-sector-2015-16
AMG S65 Sedan,Mercedes - 2016,Consumer Goods,224650,Mercedes,https://www.mbusa.com/mercedes/vehicles/model/class-S/model-S65V
Utilities for Life,Avg. Cost - 95 Years,Consumer Services,450000,,http://ohmyapt.apartmentratings.com/breaking-down-the-average-utility-costs-per-month-whats-normal.html
Google,Acquisition Offer - 1999,Corporations,1000000,Google,http://techcrunch.com/2010/09/29/google-excite/
$1 Million,,Government Spending,1000000,,
$1 Million,,Government Spending,1000001,,
Upson Hall,Cornell University - 1958,Education,1988083,Upson,http://cornell-classic.univcomm.cornell.edu/xsearch/?tab=facts&q=Upson%2520Hall&id=764
Super Bowl Ad,Avg. Cost,Entertainment,4500000,,http://fortune.com/2015/08/06/super-bowl-ad-cost/
WSOP,Grand Prize - 2015,Entertainment,37333338,Poker,https://en.wikipedia.org/wiki/List_of_largest_poker_tournaments_in_history_(by_prize_pool)
Duffield Hall,Cornell University,Education,58500000,,https://brancra.wordpress.com/tag/engineering-quad/
WSOP,Grand Prize - 2014,Entertainment,60348000,Poker,https://en.wikipedia.org/wiki/List_of_largest_poker_tournaments_in_history_(by_prize_pool)
Upson Hall,Cornell University - 2016,Education,74500000,Upson,https://www.engineering.cornell.edu/about/faqs-for-upson-hall-renovations.cfm
Original Star Wars Trilogy,Production Budget,Entertainment,86700000,Star Wars,https://en.wikipedia.org/wiki/Star_Wars#Box_office_performance
Prequel Star Wars Trilogy,Production Budget,Entertainment,343000000,Star Wars,https://en.wikipedia.org/wiki/Star_Wars#Box_office_performance
Yahoo,IPO Market Cap - 1996,Corporations,583700000,Yahoo,http://www.wikinvest.com/stock/Yahoo!_(YHOO)/Data/Market_Capitalization
$1 Billion,,Government Spending,1000000000,,
$1 Billion,,Government Spending,1000000001,,
Apple,IPO Market Cap - 1980,Corporations,1778000000,Apple,http://www.edn.com/electronics-blogs/edn-moments/4403276/Apple-IPO-makes-instant-millionaires--December-12--1980
LA Lakers,Net Worth - 2016,Entertainment,2600000000,,http://www.latimes.com/sports/sportsnow/la-sp-sn-powerball-teams-20160113-story.html
Cornell University,Endowment - 2016,Education,5300000000,,http://www.nonprofitcollegesonline.com/wealthiest-universities-in-the-world/
Housing for all U.S. Homeless,Annual Cost,Necessities,6131532142,,http://thinkprogress.org/economy/2014/05/27/3441772/florida-homeless-financial-study/
Head Start,U.S Program Funding,Government Spending,9000000000,,http://federalsafetynet.com/safety-net-programs.html
Drinking Water (Entire Human Race),Annual Cost,Necessities,10000000000,,http://www.nytimes.com/2000/11/23/world/price-of-safe-water-for-all-10-billion-and-the-will-to-provide-it.html
Aircraft Carrier,Cost,Government Spending,13942000000,,http://www.fool.com/investing/general/2015/05/25/the-navys-most-expensive-aircraft-carrier-ever-jus.aspx
Iceland,GDP - 2014,Countries,17036000000,,http://data.worldbank.org/country/iceland
Google,IPO Market Cap - 2004,Corporations,23000000000,Google,http://www.forbes.com/sites/jayritter/2014/08/07/googles-ipo-10-years-later/#7db2241970f9
Yahoo,Market Cap - 2016,Corporations,32030000000,Yahoo,http://finance.yahoo.com/q?s=FB
Harvard University,Endowment - 2016,Education,32334000000,,http://www.nonprofitcollegesonline.com/wealthiest-universities-in-the-world/
German Military,Annual Budget,Government Spending,48617000000,,http://militarybudget.org/germany/
Uber,Private Valuation - 2016,Corporations,62500000000,,http://www.bloomberg.com/news/articles/2015-12-03/uber-raises-funding-at-62-5-valuation
U.S. SNAP Food Stamps,Annual Budget,Government Spending,74100000000,,http://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap
